ID,Term,POS,NEG,NEU,TOTAL
265,bbq,51,7,11,69
266,cook,38,25,5,68
267,cost,35,28,5,68
268,patio,56,6,4,66
269,fruit,49,5,12,66
270,eat,56,2,7,65
271,conversation,51,10,4,65
272,garlic bread,42,8,15,65
273,quesadilla,37,14,14,65
274,thai,52,6,6,64
275,mofongo,39,17,8,64
276,samosa,39,14,11,64
277,size,36,21,7,64
278,carbonara,35,21,8,64
279,order,10,53,1,64
280,pork bun,51,3,9,63
281,burrata,47,7,9,63
282,borscht,45,5,13,63
283,kitchen,40,22,1,63
284,kabab,38,11,14,63
285,sweet,46,9,7,62
286,dressing,30,24,7,61
287,flavour,40,15,5,60
288,attitude,23,35,2,60
289,parathas,44,6,9,59
290,bacon,33,14,12,59
291,burrito,45,7,6,58
292,lamb shank,42,7,9,58
293,roast chicken,42,6,10,58
294,jerk chicken,35,14,9,58
295,veal,28,16,14,58
296,kimchi,40,12,5,57
297,produce,40,6,11,57
298,hamburger,36,10,11,57
299,utensil,7,46,4,57
300,set,51,2,3,56
301,establishment,45,9,2,56
302,iced tea,45,5,6,56
303,banh mi,34,8,14,56
304,salsa,30,15,11,56
305,valet,25,17,14,56
306,tikka masala,25,16,15,56
307,door,20,31,5,56
308,cleanliness,20,30,6,56
309,family,55,0,0,55
310,haneeth,45,5,5,55
311,sea bass,39,7,9,55
312,scallion pancake,39,6,10,55
313,flatbread,38,10,7,55
314,mushroom,36,16,3,55
315,egg roll,31,14,10,55
316,paneer,28,20,7,55
317,stuff,50,4,0,54
318,band,45,4,5,54
319,snapper,37,14,3,54
320,ceiling,37,16,0,53
321,toast,32,10,11,53
322,thali,32,7,14,53
323,dining room,45,5,2,52
324,mojito,43,7,2,52
325,pickle,36,8,8,52
326,karahi,33,9,10,52
327,parking lot,22,18,12,52
328,caesar salad,33,9,9,51
329,dosa,31,10,10,51
330,tuna,28,16,7,51
331,chow fun,33,7,10,50
332,bread pudding,44,2,3,49
333,lunch menu,36,9,4,49
334,chai,31,9,9,49
335,mozzarella stick,29,11,9,49
336,parmigiana,29,6,14,49
337,driver,8,38,3,49
338,snack,35,1,12,48
339,sum,22,9,17,48
340,hibachi,40,3,4,47
341,enchilada,34,7,6,47
342,fajitas,33,13,1,47
343,tostones,25,11,11,47
344,service staff,40,6,0,46
345,person,35,8,3,46
346,layout,31,11,4,46
347,chicken marsala,31,8,7,46
348,sushi roll,26,12,8,46
349,glass,4,39,3,46
350,stew,33,7,5,45
351,schnitzel,31,10,4,45
352,beverage,31,7,7,45
353,paratha,31,6,8,45
354,shish kebab,27,12,6,45
355,karaoke,27,1,17,45
356,dress,18,23,4,45
357,mash potato,16,23,6,45
358,soda,16,22,7,45
359,punch,36,5,3,44
360,seasoning,32,10,2,44
361,lassi,32,6,6,44
362,tv,32,4,8,44
363,preparation,31,12,1,44
364,squid,31,4,9,44
365,lomo,30,6,8,44
366,greek salad,29,5,10,44
367,chutney,22,15,7,44
368,refill,19,21,4,44
369,penne vodka,29,10,4,43
370,cod,25,9,9,43
371,rodizio,23,10,10,43
372,flounder,30,6,6,42
373,humus,30,6,6,42
374,foie gras,28,9,5,42
375,satay,26,3,13,42
376,mimosa,25,6,11,42
377,green,23,12,7,42
378,peking duck,22,8,12,42
379,main dish,20,12,10,42
380,tomato,14,25,3,42
