ID,Term,POS,NEG,NEU,TOTAL
102,risotto,18,9,2,29
103,crust,18,8,3,29
104,delivery,12,12,5,29
105,cheese,11,12,6,29
106,hospitality,27,1,0,28
107,space,21,6,1,28
108,smell,5,22,1,28
109,room,22,3,2,27
110,cheesecake,19,5,3,27
111,margarita,17,9,1,27
112,scampi,12,11,4,27
113,lady,18,8,0,26
114,main course,17,8,1,26
115,fish,16,8,2,26
116,fettuccine alfredo,9,13,4,26
117,hour,1,24,1,26
118,restaurant,24,0,1,25
119,wine selection,21,0,4,25
120,worker,16,8,1,25
121,portion size,15,9,1,25
122,clam,15,7,3,25
123,girl,6,18,1,25
124,pie,17,5,2,24
125,waitstaff,16,7,1,24
126,fry,15,7,2,24
127,pasta dish,18,3,2,23
128,penne vodka,15,6,2,23
129,meat,11,9,3,23
130,mozzarella stick,11,6,6,23
131,dip,10,9,4,23
132,restroom,10,8,5,23
133,fettuccine,7,11,5,23
134,seafood,16,4,2,22
135,scallop,14,7,1,22
136,antipasto,8,7,7,22
137,fare,8,6,8,22
138,check,4,11,7,22
139,rigatoni,12,6,3,21
140,view,20,0,0,20
141,ingredient,17,3,0,20
142,choice,17,2,1,20
143,ragu,12,4,4,20
144,refill,9,9,2,20
145,burrata,17,1,1,19
146,serving,16,2,1,19
147,martini,14,3,2,19
148,minestrone soup,12,7,0,19
149,octopus,9,5,5,19
150,sausage,7,7,5,19
151,order,4,15,0,19
152,marsala,4,12,3,19
153,silverware,0,18,1,19
154,decorate,18,0,0,18
155,karaoke,16,0,2,18
156,entertainment,15,1,2,18
157,apps,11,4,3,18
158,crepe,17,0,0,17
159,bread pudding,15,0,2,17
160,short rib,12,3,2,17
161,filet mignon,10,4,3,17
162,penne,9,2,6,17
163,beer,8,3,6,17
164,dressing,7,10,0,17
165,line,7,9,1,17
166,attention,14,2,0,16
167,caesar salad,11,0,5,16
168,ziti,9,6,1,16
169,chair,3,11,2,16
170,utensil,1,15,0,16
171,napkin,1,13,2,16
172,fork,0,16,0,16
173,variety,14,1,0,15
174,dining,13,0,2,15
175,wine list,12,1,2,15
176,cappuccino,11,4,0,15
177,bolognese,11,3,1,15
178,chicken parmigiana,11,1,3,15
179,serve,10,5,0,15
180,pricing,9,3,3,15
181,broccoli,6,8,1,15
182,mozzarella,6,7,2,15
183,linguini,6,6,3,15
184,setting,13,1,0,14
185,interior,12,1,1,14
186,person,11,2,1,14
187,option,11,2,1,14
188,eggplant parmesan,9,0,5,14
189,review,6,6,2,14
190,dress,5,7,2,14
191,side,4,7,3,14
192,noisy,2,11,1,14
193,lemonade,11,2,0,13
194,sandwich,9,3,1,13
195,chicken parmesan,9,2,2,13
196,branzino,8,3,2,13
197,quantity,7,4,2,13
198,light,6,6,1,13
199,min,1,12,0,13
200,cooking,12,0,0,12
201,area,11,1,0,12
202,lunch special,9,1,2,12
203,guy,8,3,1,12
204,mushroom,7,4,1,12
205,marinara,6,3,3,12
206,french fry,1,5,6,12
207,carpet,0,12,0,12
208,recommendation,11,0,0,11
209,everyone,11,0,0,11
210,valet parking,10,0,1,11
211,conversation,9,1,1,11
212,burger,8,1,2,11
213,waiter / waitress,7,3,1,11
214,penne alla vodka,7,2,2,11
215,tortellini,6,3,2,11
216,wing,6,1,4,11
217,linguine,5,3,3,11
218,temperature,5,3,3,11
219,parking lot,4,4,3,11
220,water,2,9,0,11
221,parmesan,2,6,3,11
222,cutlery,0,11,0,11
223,alfredo sauce,0,10,1,11
224,patio,9,1,0,10
225,tomato,6,3,1,10
226,stuffed shell,6,3,1,10
227,kitchen,6,3,1,10
228,valet,6,1,3,10
229,texture,5,5,0,10
230,cook,5,5,0,10
231,marinara sauce,4,5,1,10
232,noodle,3,6,1,10
233,ice cream,2,4,4,10
234,decoration,8,1,0,9
235,lunch menu,8,1,0,9
